char_grid
f,a,s,a,n,m,o,t,t,e,a,o,r,i,s,t,a,s,l,i
e,v,a,k,u,i,e,r,u,n,g,s,a,m,e,a,u,t,o,r
l,e,u,t,e,s,p,i,c,k,o,s,t,a,i,r,s,a,g,e
d,r,e,i,s,t,i,c,h,e,r,e,i,g,n,i,s,r,o,t
w,a,r,e,e,j,a,k,u,l,a,t,o,e,l,f,e,r,s,e
e,g,e,r,l,a,n,d,r,h,o,e,n,r,a,d,n,e,t,e
b,e,s,i,t,z,o,u,v,e,r,t,u,e,r,e,b,a,h,n
e,s,s,s,a,a,l,f,i,c,k,e,n,i,v,e,a,u,e,i
l,e,i,s,t,r,i,t,z,k,u,s,i,n,e,r,u,s,s,e
n,e,g,e,v,g,l,i,e,d,s,t,r,e,b,n,o,t,e,i

row_words
fasan,motte,aorist,as
evakuierung,same,auto
leute,spick,ost,air,sage
drei,stich,ereignis,rot
ware,ejakulat,oel,ferse
egerland,rhoenrad,net
besitz,ouvertuere,bahn
esssaal,ficke,niveau,ei
leistritz,kusine,russe
negev,glied,streb,not

col_words
feldwebel
average,see
saueressig
aktie,riss
nu,esel,tat
mist,ja,zar
oe,piano,li
trick,duft
tuch,ur,vize
enkel,heck
agora,orkus
ossete,test
ration,uni
image,reine
sein,larve
tarif,deern
aussenbau
starre,aus
logos,these
ire,teenie
