char_grid
o,t,t,e,r,a,r,a,s,s
r,e,a,d,e,r,a,m,t,a
t,u,b,i,s,t,l,a,u,t
s,t,a,t,t,a,l,l,p,i
k,o,k,i,l,l,e,f,a,n
i,n,f,o,o,r,b,i,t,k
r,e,i,n,h,e,i,t,o,n
c,h,r,o,n,i,k,o,p,a
h,a,m,e,l,n,e,r,o,b
e,i,a,l,i,e,n,s,i,e

row_words
otter,ar,as
reader,amt
tubist,laut
statt,all,pi
kokille,fan
info,orbit
reinheit,on
chronik,opa
hamelner,ob
ei,alien,sie

col_words
ortskirche
teutone,hai
tabakfirma
edition,oel
rest,lohn,li
ar,tal,reine
ralle,biken
amalfi,tor
stupa,topoi
satin,knabe
